Date,AAPL,AMZN,GOOG,GOOGL,HD,INTC,JNJ,JPM,MA,MSFT,PG,T,UNH,V,VZ
2016-08-26,24.75379753112793,38.45000076293945,38.47700119018555,39.6609992980957,113.1277847290039,28.952125549316406,97.98554992675781,53.99333572387695,92.4613037109375,52.628807067871094,71.72611999511719,17.580665588378906,122.59768676757812,76.64826965332031,36.40331268310547
2016-09-02,24.936660766601562,38.62200164794922,38.573001861572266,39.84349822998047,114.37644958496094,29.625436782836914,98.21604919433594,55.02885437011719,93.82231903076172,52.30232620239258,72.23388671875,17.697349548339844,122.5887222290039,78.0086669921875,36.96959686279297
2016-09-09,23.871883392333984,38.00699996948242,37.983001708984375,39.42399978637695,108.1054916381836,29.09994125366211,97.3188247680664,54.34394836425781,94.07148742675781,50.97821044921875,70.62867736816406,17.161460876464844,120.45932006835938,77.37126922607422,36.22854232788086
2016-09-16,26.600954055786133,38.92599868774414,38.444000244140625,39.89849853515625,106.72599792480469,30.93099594116211,97.33527374267578,53.66719055175781,95.23120880126953,51.92140579223633,72.11103057861328,17.37322425842285,124.83159637451172,78.07524871826172,36.270484924316406
2016-09-23,26.089399337768555,40.287498474121094,39.345001220703125,40.74800109863281,108.14777374267578,30.536861419677734,97.79625701904297,54.83316421508789,97.43563079833984,52.08466339111328,71.87354278564453,17.8399658203125,126.67069244384766,78.52237701416016,36.74588394165039
2016-09-30,26.16809844970703,41.865501403808594,38.864498138427734,40.202999114990234,108.90097045898438,30.996685028076172,97.23651123046875,54.295021057128906,97.54102325439453,52.23883056640625,73.50331115722656,17.5504150390625,126.21092987060547,78.6745834350586,36.34039306640625
2016-10-07,26.401885986328125,41.971500396728516,38.75400161743164,40.035499572753906,108.58784484863281,31.2840633392334,98.15020751953125,55.938079833984375,98.18540954589844,52.42021560668945,73.70803833007812,17.070331573486328,123.19989776611328,78.8458480834961,35.2982292175293
2016-10-14,27.228248596191406,41.14799880981445,38.92649841308594,40.22999954223633,106.98836517333984,30.750350952148438,96.76732635498047,55.45351791381836,96.86988830566406,52.07558822631836,72.4222412109375,17.224035263061523,120.7297592163086,78.436767578125,35.552772521972656
2016-10-21,26.98982810974121,40.949501037597656,39.96849822998047,41.202999114990234,107.14067840576172,28.86180877685547,93.37603759765625,56.250179290771484,98.7615737915039,54.10709762573242,69.59765625,16.46428680419922,131.0520477294922,78.34162139892578,34.082008361816406
2016-10-28,26.323184967041016,38.816001892089844,39.76850128173828,40.97800064086914,104.58486938476562,28.525161743164062,94.9317398071289,56.75936508178711,102.65056610107422,54.297542572021484,71.6691665649414,16.033903121948242,126.52640533447266,78.21794891357422,34.089088439941406
2016-11-04,25.32294464111328,37.752498626708984,38.10100173950195,39.05500030517578,102.3252944946289,27.806251525878906,94.75065612792969,55.650638580322266,98.93440246582031,53.245513916015625,70.21666717529297,16.029510498046875,124.14647674560547,76.44849395751953,33.29006576538086
2016-11-11,25.227556228637695,36.95050048828125,37.70100021362305,38.587501525878906,109.89115142822266,28.63357925415039,97.51636505126953,62.98475646972656,100.46122741699219,53.526668548583984,68.97869110107422,16.033903121948242,131.9985809326172,77.8945083618164,33.0142936706543
2016-11-18,25.606792449951172,38.007999420166016,38.027000427246094,38.798500061035156,108.60477447509766,28.91486358642578,95.61260986328125,63.82248306274414,100.61485290527344,55.102622985839844,67.67472076416016,16.495027542114258,134.7301483154297,77.04791259765625,33.99009704589844
2016-11-25,26.009300231933594,39.01850128173828,38.08399963378906,39.01150131225586,111.34675598144531,29.320268630981445,94.59314727783203,64.7423324584961,101.527099609375,55.26697540283203,68.87965393066406,17.21964454650879,137.7592315673828,76.3901138305664,35.82854080200195
2016-12-02,25.56956672668457,37.016998291015625,37.525001525878906,38.222999572753906,110.49165344238281,28.261287689208984,92.79463195800781,67.01726531982422,97.08114624023438,54.0982666015625,68.00484466552734,16.956148147583008,145.47608947753906,72.18592071533203,35.22043228149414
2016-12-09,26.511850357055664,38.43299865722656,39.464500427246094,40.47249984741211,113.48641967773438,29.584997177124023,93.04326629638672,70.21208953857422,100.25957489013672,56.581764221191406,69.63067626953125,17.73346710205078,144.9239501953125,75.4463119506836,36.408348083496094
2016-12-16,26.981826782226562,37.88850021362305,39.540000915527344,40.492000579833984,114.94978332519531,30.040021896362305,96.04358673095703,69.76039123535156,99.31851959228516,56.8830680847168,69.88652038574219,18.29999351501465,148.3814697265625,74.69319152832031,36.95988845825195
2016-12-23,27.109790802001953,38.02949905395508,39.49549865722656,40.38999938964844,114.89874267578125,30.5860652923584,96.1098861694336,71.49333190917969,100.5476303100586,57.74134063720703,70.11759948730469,18.765501022338867,147.55780029296875,74.50251770019531,37.9568977355957
2016-12-30,26.94692611694336,37.493499755859375,38.590999603271484,39.622501373291016,114.07347106933594,30.006935119628906,95.48828125,70.86914825439453,99.14567565917969,56.73698806762695,69.39132690429688,18.677671432495117,144.8515625,74.37857055664062,37.7447624206543
2017-01-06,27.433191299438477,39.79949951171875,40.307498931884766,41.260501861572266,113.60553741455078,30.180673599243164,96.39168548583984,71.1208724975586,103.69080352783203,57.376129150390625,70.17536163330078,18.42658042907715,146.9966583251953,78.37303161621094,38.062557220458984
2017-01-13,27.696104049682617,40.856998443603516,40.39400100708008,41.547000885009766,114.89020538330078,30.4371395111084,94.98271179199219,71.59983825683594,104.59532165527344,57.248294830322266,69.33358001708984,18.266029357910156,146.44459533691406,77.38157653808594,37.555145263671875
2017-01-20,27.91945457458496,40.416500091552734,40.250999450683594,41.40850067138672,115.36666870117188,30.561243057250977,94.60974884033203,69.09756469726562,105.8077621459961,57.284820556640625,72.7446060180664,18.484546661376953,143.60255432128906,78.02032470703125,37.67664337158203
2017-01-27,28.373149871826172,41.78850173950195,41.16550064086914,42.25149917602539,117.68931579589844,31.42165184020996,93.9715576171875,71.78978729248047,105.69226837158203,60.06047821044922,72.13735961914062,18.73427963256836,147.52162170410156,79.86022186279297,35.44691467285156
2017-02-03,30.032026290893555,40.5099983215332,40.074501037597656,41.006500244140625,117.39152526855469,30.429452896118164,94.18704223632812,71.99626159667969,102.55536651611328,58.1430778503418,72.71129608154297,18.395360946655273,146.5079345703125,82.0624008178711,34.717979431152344
2017-02-10,30.872591018676758,41.37300109863281,40.68349838256836,41.74250030517578,118.98251342773438,29.44625473022461,95.5131607055664,71.84761810302734,103.21930694580078,58.43525695800781,73.17713928222656,18.453332901000977,145.49423217773438,81.89079284667969,35.00382614135742
