Date,Mkt-RF,SMB,HML,RF
2018-11-02,2.88,1.62,0.55,0.044
2018-11-09,1.75,-2.61,1.18,0.044
2018-11-16,-1.65,0.29,0.28,0.044
2018-11-23,-3.74,1.17,0.84,0.044
2018-11-30,4.78,-1.81,-1.67,0.044
2018-12-07,-4.83,-0.67,-0.68,0.051
2018-12-14,-1.45,-1.16,-1.85,0.051
2018-12-21,-7.33,-1.59,2.15,0.051
2018-12-28,3.14,1.11,-1.37,0.051
2019-01-04,2.14,1.28,1.24,0.052
2019-01-11,2.95,2.21,-1.58,0.052
2019-01-18,2.8,-0.84,0.9,0.052
2019-01-25,-0.28,0.1,-0.15,0.052
2019-02-01,1.57,-0.35,-0.76,0.046
2019-02-08,0.09,0.3,-1.27,0.046
2019-02-15,2.73,1.58,0.01,0.046
2019-02-22,0.64,0.99,-0.85,0.046
2019-03-01,0.5,-0.4,-1.28,0.048
2019-03-08,-2.55,-1.97,-0.28,0.048
2019-03-15,2.83,-0.91,-0.49,0.048
2019-03-22,-1.11,-1.46,-2.77,0.048
2019-03-29,1.27,1.07,-0.2,0.048
2019-04-05,2.14,0.54,1.0,0.052
2019-04-12,0.55,-0.71,0.91,0.052
2019-04-18,-0.18,-1.05,0.48,0.052
2019-04-26,1.24,0.2,-1.26,0.052
2019-05-03,0.27,0.66,0.37,0.052
2019-05-10,-2.22,-0.13,-0.04,0.052
2019-05-17,-1.02,-1.49,-0.69,0.052
2019-05-24,-1.3,-0.53,-0.19,0.052
2019-05-31,-2.71,-0.49,-1.04,0.052
2019-06-07,4.27,-1.24,-0.53,0.046
2019-06-14,0.45,-0.02,-0.08,0.046
2019-06-21,2.21,0.07,-1.67,0.046
2019-06-28,-0.11,1.43,1.58,0.046
2019-07-05,1.56,-1.22,-0.37,0.048
2019-07-12,0.72,-1.37,-0.29,0.048
2019-07-19,-1.22,-0.27,-0.74,0.048
2019-07-26,1.75,-0.22,0.88,0.048
2019-08-02,-3.45,0.37,-0.81,0.041
2019-08-09,-0.61,-0.73,-1.91,0.041
2019-08-16,-1.17,0.25,-1.24,0.041
2019-08-23,-1.57,-0.72,-0.29,0.041
2019-08-30,2.7,-0.53,0.34,0.041
2019-09-06,1.61,-1.19,1.28,0.044
2019-09-13,1.33,2.9,4.92,0.044
2019-09-20,-0.64,-0.59,-0.91,0.044
2019-09-27,-1.37,-1.81,1.97,0.044
2019-10-04,-0.4,-0.42,-2.36,0.039
2019-10-11,0.69,-0.47,0.21,0.039
2019-10-18,0.47,0.75,0.53,0.039
2019-10-25,1.38,0.31,0.67,0.039
2019-11-01,1.47,0.43,-0.51,0.031
2019-11-08,1.01,-0.55,2.18,0.031
2019-11-15,0.78,-0.69,-1.74,0.031
2019-11-22,-0.19,-0.06,-1.59,0.031
2019-11-29,1.13,1.57,-1.65,0.031
2019-12-06,0.1,0.52,0.73,0.035
2019-12-13,0.74,0.2,0.75,0.035
2019-12-20,1.71,0.33,-0.01,0.035
2019-12-27,0.49,-0.49,-0.42,0.035
2020-01-03,-0.12,-0.32,0.34,0.032
2020-01-10,0.94,-0.95,-2.26,0.032
2020-01-17,2.0,0.65,-1.34,0.032
2020-01-24,-1.14,-1.25,-1.03,0.032
2020-01-31,-2.06,-1.07,-1.46,0.032
2020-02-07,3.13,-0.36,-0.77,0.03
2020-02-14,1.73,0.01,-0.86,0.03
2020-02-21,-1.06,0.71,0.07,0.03
2020-02-28,-11.5,0.71,-2.34,0.03
2020-03-06,0.1,-1.51,-5.07,0.033
2020-03-13,-9.7,-5.75,-3.42,0.033
2020-03-20,-14.57,1.83,-5.59,0.033
2020-03-27,10.31,-1.25,1.02,0.033
2020-04-03,-2.48,-2.05,-5.2,0.001
2020-04-09,12.34,2.65,7.7,0.001
